test_donor,seed,scenario,n_masked_proteins,mask_seed,mask_source,masked_proteins
P3,43,random_30,67,333433,legacy_v33_deterministic_feature_mask,Galectin-9|CD155|CD112|CD70|CD8|CD19|CD11c|CD90|CD45RA|CD123|CD194|CD4-2|CD14|CD335|CD140b|IgM|CD196|CD69|CD107a|HLA-DR|CD141|CD314|CD366|CD275-2|CX3CR1|CD79b|CD66a/c/e|CD42b|CD54|TCR-2|Notch-2|CD68|Rat-IgG1-2|CD192|CD102|CD106|CD267|CD62E|CD41|CD137|CD83|CD59|CD124|CD29|CD303|CD61|CD98|CD45-2|CD71|B7-H4|CD144|CD1a|TIM-4|CD171|CD325|CD338|CD354|CD202b|CD142|CD307d|CLEC12A|CD16|CD161|CCR10|CD199|CD45RB|VEGFR-3
P3,43,random_50,112,333435,legacy_v33_deterministic_feature_mask,CD80|CD86|CD273|CD275-1|CD11b-1|CD270|CD252|CD47|CD70|CD30|CD154|CD45-1|CD138-1|CD269|CD90|CD45RA|CD105|CD201|CD4-2|CD44-1|CD8a|CD25|CD45RO|CD279|Rat-IgG2b|CD20|CD335|CD294|CD31|Podoplanin|CD146|TCR-1|CD103|CD152|CD223|CD27|CD107a|CD95|CD1c|CD64|CD141|CD1d|CD35|CD366|CD272|CD96|CD178|CD21|CD79b|CD66a/c/e|CD169|XCR1|Notch-1|CD42b|CD54|CD62P|CD119|TCR-2|CD68|Rag-IgG2c|CD102|CD122|CD43|CD83|CD59|CD13|CD184|CD2|CD303|CD81|CD55|IgD|CD28|CD38-1|CD127|CD45-2|CD15|CD71|B7-H4|CD115|CD144|CD301|CD284|CD172a|CD85g|CD72|MERTK|TIM-4|CD200|CD338|CD235a|CD73|CD79a|TCR-V-2|TCR-V-9|TCR-V-24-J-18|CD305|CD110|CD337|CD226|CD164|CD142|CD307d|CD319|CLEC12A|CD16|CD161|CCR10|CD271|GP130|VEGFR-3|CD26-2
P3,43,random_70,157,333437,legacy_v33_deterministic_feature_mask,CD80|CD86|CD274|CD273|CD275-1|Galectin-9|CD112|CD30|CD48|CD40|CD154|CD52|CD3-1|CD4-1|CD8|CD56-1|CD11c|CD138-1|CD90|CD45RA|CD123|CD105|CD201|CD194|CD4-2|CD8a|CD14|CD56-2|CD25|CD45RO|CD279|TIGIT|Rat-IgG2b|CD20|CD31|CD133-1|CD140a|Cadherin|CD340|CD146|IgM|TCR-1|CD196|CD103|CD223|CD107a|CD95|CD134|HLA-DR|CD1c|CD11b-2|CD64|CD141|CD1d|CD314|CD66b|CD57|CD278|CD96|CD39|CD178|CX3CR1|CD21|CD66a/c/e|CD244|CD235ab|Siglec-8|CD206|CD370|XCR1|Notch-1|CD42b|CD62P|Notch-2|CD68|Rat-IgG1-1|Rat-IgG1-2|CD102|CD106|CD122|CD267|CD62E|CD41|CD43|CD83|CD357|CD124|CD13|CD2|CD29|CD303|CD49b|CD61|CD81|CD98|CD177|CD55|CD28|TSLPR|CD38-1|CD45-2|CD15|CD22|CD71|B7-H4|CD26-1|CD193|CD301|CD1a|CD207|CD63|CD284|CD304|CD36|CD172a|CD38-2|CD72|Folate|TIM-4|CD171|CD325|CD93|CD200|CD338|CD235a|CD49a|CD49d|CD73|CD79a|TCR-V-7.2|TCR-V-9|TCR-V-24-J-18|CD354|CD202b|CD305|LOX-1|CD203c|CD133-2|CD337|CD253|CD186|CD226|CD205|CD109|CD164|CD142|CD307c/FcRL3|CD307e|CD138-2|CLEC12A|CCR10|GP130|CD199|CD45RB|CD46|VEGFR-3|CLEC2
P3,43,marker_memory,6,,legacy_v33_deterministic_feature_mask,CD45RA|CD45RO|CD27|CD95|CD28|CD127
P3,43,marker_tcell,15,,legacy_v33_deterministic_feature_mask,CD3-1|CD4-1|CD8|CD3-2|CD45RA|CD4-2|CD8a|CD45RO|TCR-1|CD27|TCR-2|TCR-V-7.2|TCR-V-2|TCR-V-9|TCR-V-24-J-18
P3,43,rna_only,224,,legacy_v33_deterministic_feature_mask,CD80|CD86|CD274|CD273|CD275-1|CD11b-1|Galectin-9|CD270|CD252|CD155|CD112|CD47|CD70|CD30|CD48|CD40|CD154|CD52|CD3-1|CD4-1|CD8|CD56-1|CD45-1|CD3-2|CD19|CD11c|CD34|CD138-1|CD269|CD90|CD117|CD45RA|CD123|CD105|CD201|CD194|CD4-2|CD44-1|CD8a|CD14|CD56-2|CD25|CD45RO|CD279|TIGIT|Rat-IgG2b|CD20|CD335|CD294|CD31|CD44-2|CD133-1|Podoplanin|CD140a|CD140b|Cadherin|CD340|CD146|CD324|IgM|TCR-1|CD195|CD196|CD185|CD103|CD69|CD152|CD223|CD27|CD107a|CD95|CD134|HLA-DR|CD1c|CD11b-2|CD64|CD141|CD1d|CD314|CD66b|CD35|CD57|CD366|CD272|CD278|CD275-2|CD96|CD39|CD178|CX3CR1|CD24|CD21|CD79b|CD66a/c/e|CD244|CD235ab|Siglec-8|CD206|CD169|CD370|XCR1|Notch-1|Integrin-7|CD268|CD42b|CD54|CD62P|CD119|TCR-2|Notch-2|CD68|Rat-IgG1-1|Rat-IgG1-2|Rag-IgG2c|CD192|CD102|CD106|CD122|CD267|CD62E|CD135|CD41|CD137|CD43|CD163|CD83|CD357|CD59|CD309|CD124|CD13|CD184|CD2|CD29|CD303|CD49b|CD61|CD81|CD98|CD177|CD55|IgD|CD18|CD28|TSLPR|CD38-1|CD127|CD45-2|CD15|CD22|CD71|B7-H4|CD26-1|CD193|CD115|CD204|CD144|CD301|CD1a|CD207|CD63|CD284|CD304|CD36|CD172a|CD85g|CD38-2|CD243|CD72|MERTK|Folate|TIM-4|CD171|CD325|CD93|CD200|CD338|C5L2|CD235a|CD49a|CD49d|CD73|CD79a|CD9|TCR-V-7.2|TCR-V-2|TCR-V-9|TCR-V-24-J-18|CD354|CD202b|CD305|LOX-1|CD203c|CD133-2|CD209|CD110|CD337|CD253|CD186|CD226|CD205|CD109|CD11a/CD18|CD126|CD164|CD142|CD307c/FcRL3|CD307d|CD307e|CD319|CD138-2|CD99|CLEC12A|CD16|CD161|CCR10|CD271|GP130|CD199|CD45RB|CD46|VEGFR-3|CLEC2|CD26-2
P3,43,random_size_matched_6,6,823431,random_feature_name_only_size_matched_to_targeted_mask,CD270|CD140b|CD275-2|CD209|CD253|CD199
P3,43,random_size_matched_15,15,823432,random_feature_name_only_size_matched_to_targeted_mask,CD80|CD48|CD8|CD269|CD90|CD103|CD223|CD314|CD370|CD85g|CD338|CD49a|CD9|TCR-V-2|CD45RB
P4,41,full,0,,legacy_v33_deterministic_feature_mask,
P4,41,random_10,22,334411,legacy_v33_deterministic_feature_mask,CD80|Galectin-9|CD19|CD105|CD279|CD185|CD152|HLA-DR|CD11b-2|CD235ab|XCR1|Integrin-7|CD357|CD26-1|Folate|CD171|CD79a|TCR-V-7.2|CD110|CD126|CD271|VEGFR-3
P4,41,random_30,67,334413,legacy_v33_deterministic_feature_mask,CD274|CD273|CD11b-1|Galectin-9|CD270|CD252|CD155|CD30|CD154|CD52|CD8|CD45-1|CD269|CD4-2|CD14|CD25|TIGIT|CD335|CD31|CD44-2|CD133-1|CD340|CD146|CD69|CD95|CD1d|CD35|CD24|CD79b|CD244|CD235ab|CD169|Integrin-7|CD119|Notch-2|Rat-IgG1-2|CD192|CD106|CD59|CD124|CD13|CD303|CD61|CD18|CD28|CD45-2|CD15|CD71|CD115|CD144|CD301|CD36|CD85g|CD93|CD338|C5L2|CD235a|CD79a|TCR-V-9|CD354|CD253|CD186|CD11a/CD18|CD164|CD307d|CD99|CD161
P4,41,random_50,112,334415,legacy_v33_deterministic_feature_mask,CD274|CD275-1|CD270|CD155|CD112|CD47|CD154|CD52|CD3-1|CD8|CD56-1|CD45-1|CD19|CD34|CD45RA|CD123|CD105|CD201|CD194|CD44-1|CD14|Rat-IgG2b|CD31|CD44-2|CD140b|CD340|IgM|TCR-1|CD196|CD103|CD69|CD223|CD95|HLA-DR|CD11b-2|CD64|CD141|CD314|CD35|CD366|CD272|CD278|CD275-2|CD96|CD39|CD21|CD66a/c/e|CD235ab|Siglec-8|CD169|CD54|CD62P|CD119|CD68|Rat-IgG1-1|Rat-IgG1-2|Rag-IgG2c|CD106|CD122|CD62E|CD135|CD41|CD137|CD43|CD163|CD59|CD309|CD29|CD81|CD55|TSLPR|CD38-1|CD127|CD45-2|CD15|CD22|CD71|B7-H4|CD193|CD204|CD144|CD1a|CD284|CD172a|CD38-2|CD243|Folate|TIM-4|CD325|CD93|C5L2|CD73|CD79a|CD9|TCR-V-7.2|CD202b|CD305|CD110|CD253|CD11a/CD18|CD126|CD142|CD307c/FcRL3|CD307d|CD307e|CD319|CD99|CD161|CD45RB|VEGFR-3|CLEC2|CD26-2
P4,41,random_70,157,334417,legacy_v33_deterministic_feature_mask,CD80|CD86|CD273|CD275-1|CD11b-1|Galectin-9|CD270|CD252|CD47|CD70|CD30|CD154|CD3-1|CD4-1|CD8|CD56-1|CD45-1|CD3-2|CD19|CD34|CD138-1|CD117|CD123|CD105|CD201|CD194|CD4-2|CD8a|CD14|CD279|Rat-IgG2b|CD20|CD335|CD44-2|CD133-1|Podoplanin|CD140a|CD140b|CD340|CD324|IgM|TCR-1|CD195|CD196|CD103|CD69|CD152|CD223|CD27|CD107a|CD95|CD134|HLA-DR|CD1c|CD64|CD141|CD1d|CD66b|CD57|CD366|CD272|CD275-2|CD96|CD24|CD21|CD66a/c/e|CD244|CD235ab|Siglec-8|CD169|CD370|XCR1|Integrin-7|CD54|CD62P|CD119|TCR-2|Notch-2|CD68|Rat-IgG1-1|Rat-IgG1-2|CD192|CD102|CD62E|CD135|CD41|CD163|CD83|CD357|CD59|CD309|CD124|CD13|CD2|CD29|CD81|CD98|CD177|CD55|IgD|CD18|CD28|TSLPR|CD38-1|CD127|CD45-2|CD15|CD22|CD71|B7-H4|CD26-1|CD193|CD144|CD301|CD1a|CD207|CD63|CD304|CD36|CD172a|CD85g|CD38-2|CD243|CD72|MERTK|Folate|CD171|CD93|CD338|CD235a|CD49a|CD79a|TCR-V-7.2|TCR-V-2|TCR-V-9|TCR-V-24-J-18|CD354|CD203c|CD110|CD226|CD109|CD142|CD307c/FcRL3|CD307d|CD307e|CD138-2|CD99|CLEC12A|CD16|CD271|GP130|CD199|CD45RB|CD46|VEGFR-3|CLEC2|CD26-2
P4,41,marker_memory,6,,legacy_v33_deterministic_feature_mask,CD45RA|CD45RO|CD27|CD95|CD28|CD127
P4,41,marker_tcell,15,,legacy_v33_deterministic_feature_mask,CD3-1|CD4-1|CD8|CD3-2|CD45RA|CD4-2|CD8a|CD45RO|TCR-1|CD27|TCR-2|TCR-V-7.2|TCR-V-2|TCR-V-9|TCR-V-24-J-18
P4,41,rna_only,224,,legacy_v33_deterministic_feature_mask,CD80|CD86|CD274|CD273|CD275-1|CD11b-1|Galectin-9|CD270|CD252|CD155|CD112|CD47|CD70|CD30|CD48|CD40|CD154|CD52|CD3-1|CD4-1|CD8|CD56-1|CD45-1|CD3-2|CD19|CD11c|CD34|CD138-1|CD269|CD90|CD117|CD45RA|CD123|CD105|CD201|CD194|CD4-2|CD44-1|CD8a|CD14|CD56-2|CD25|CD45RO|CD279|TIGIT|Rat-IgG2b|CD20|CD335|CD294|CD31|CD44-2|CD133-1|Podoplanin|CD140a|CD140b|Cadherin|CD340|CD146|CD324|IgM|TCR-1|CD195|CD196|CD185|CD103|CD69|CD152|CD223|CD27|CD107a|CD95|CD134|HLA-DR|CD1c|CD11b-2|CD64|CD141|CD1d|CD314|CD66b|CD35|CD57|CD366|CD272|CD278|CD275-2|CD96|CD39|CD178|CX3CR1|CD24|CD21|CD79b|CD66a/c/e|CD244|CD235ab|Siglec-8|CD206|CD169|CD370|XCR1|Notch-1|Integrin-7|CD268|CD42b|CD54|CD62P|CD119|TCR-2|Notch-2|CD68|Rat-IgG1-1|Rat-IgG1-2|Rag-IgG2c|CD192|CD102|CD106|CD122|CD267|CD62E|CD135|CD41|CD137|CD43|CD163|CD83|CD357|CD59|CD309|CD124|CD13|CD184|CD2|CD29|CD303|CD49b|CD61|CD81|CD98|CD177|CD55|IgD|CD18|CD28|TSLPR|CD38-1|CD127|CD45-2|CD15|CD22|CD71|B7-H4|CD26-1|CD193|CD115|CD204|CD144|CD301|CD1a|CD207|CD63|CD284|CD304|CD36|CD172a|CD85g|CD38-2|CD243|CD72|MERTK|Folate|TIM-4|CD171|CD325|CD93|CD200|CD338|C5L2|CD235a|CD49a|CD49d|CD73|CD79a|CD9|TCR-V-7.2|TCR-V-2|TCR-V-9|TCR-V-24-J-18|CD354|CD202b|CD305|LOX-1|CD203c|CD133-2|CD209|CD110|CD337|CD253|CD186|CD226|CD205|CD109|CD11a/CD18|CD126|CD164|CD142|CD307c/FcRL3|CD307d|CD307e|CD319|CD138-2|CD99|CLEC12A|CD16|CD161|CCR10|CD271|GP130|CD199|CD45RB|CD46|VEGFR-3|CLEC2|CD26-2
P4,41,random_size_matched_6,6,824411,random_feature_name_only_size_matched_to_targeted_mask,CD185|CD134|CD314|CD127|CD325|TCR-V-9
P4,41,random_size_matched_15,15,824412,random_feature_name_only_size_matched_to_targeted_mask,CD270|CD138-1|CD45RA|CD335|CD95|CD39|TCR-2|B7-H4|CD284|CD36|CD93|CD202b|CD110|CD11a/CD18|CD138-2
P4,42,full,0,,legacy_v33_deterministic_feature_mask,
P4,42,random_10,22,334421,legacy_v33_deterministic_feature_mask,CD273|Galectin-9|CD155|CD19|CD269|CD107a|CD95|CD314|CD35|CD178|CD62P|Rat-IgG1-1|CD106|CD49b|CD81|CD204|CD1a|CD284|CCR10|GP130|CD45RB|CD26-2
P4,42,random_30,67,334423,legacy_v33_deterministic_feature_mask,CD86|CD274|CD273|Galectin-9|CD155|CD112|CD70|CD30|CD52|CD8|CD34|CD117|CD44-1|CD14|CD56-2|Rat-IgG2b|CD335|TCR-1|CD69|CD152|CD134|CD1c|CD11b-2|CD314|CD66b|CD35|CD278|CD21|CD206|CD169|CD370|XCR1|CD62P|CD68|Rag-IgG2c|CD192|CD122|CD62E|CD41|CD137|CD43|CD309|CD124|CD303|CD61|CD81|TSLPR|B7-H4|CD193|CD144|CD172a|MERTK|CD49a|CD73|TCR-V-7.2|TCR-V-24-J-18|CD305|CD203c|CD133-2|CD307d|CD307e|CD138-2|CD16|CCR10|CD271|GP130|CD199
P4,42,random_50,112,334425,legacy_v33_deterministic_feature_mask,CD80|CD86|CD274|CD275-1|Galectin-9|CD252|CD155|CD47|CD30|CD8|CD56-1|CD45-1|CD3-2|CD11c|CD34|CD269|CD90|CD117|CD45RA|CD44-1|CD8a|CD14|CD25|CD279|TIGIT|Rat-IgG2b|CD294|CD44-2|Podoplanin|Cadherin|CD340|CD195|CD69|CD27|CD107a|CD11b-2|CD141|CD1d|CD66b|CD35|CD57|CD366|CD275-2|CD39|CX3CR1|CD66a/c/e|Siglec-8|CD169|CD370|Notch-1|Integrin-7|CD268|CD42b|CD54|CD119|Notch-2|Rat-IgG1-2|CD192|CD122|CD267|CD62E|CD41|CD137|CD83|CD124|CD13|CD2|CD303|CD49b|CD61|CD81|CD177|IgD|CD18|CD38-1|CD127|CD45-2|CD15|CD22|CD115|CD144|CD301|CD63|CD304|CD36|CD172a|CD72|MERTK|TIM-4|CD325|CD235a|CD49d|CD79a|TCR-V-7.2|TCR-V-2|TCR-V-24-J-18|CD354|LOX-1|CD203c|CD226|CD205|CD164|CD142|CD307e|CLEC12A|CD16|CD161|CD271|CD199|CD45RB|VEGFR-3|CLEC2
P4,42,random_70,157,334427,legacy_v33_deterministic_feature_mask,CD80|CD86|CD274|CD273|CD275-1|CD11b-1|CD155|CD112|CD47|CD70|CD40|CD154|CD52|CD4-1|CD8|CD56-1|CD45-1|CD3-2|CD19|CD11c|CD138-1|CD45RA|CD194|CD8a|CD14|CD56-2|CD25|CD45RO|CD279|TIGIT|Rat-IgG2b|CD20|CD335|CD294|CD31|CD133-1|CD140a|Cadherin|CD324|IgM|TCR-1|CD195|CD196|CD185|CD152|CD27|CD107a|CD95|CD134|HLA-DR|CD1c|CD64|CD141|CD66b|CD278|CD275-2|CD178|CX3CR1|CD24|CD21|CD79b|CD66a/c/e|Siglec-8|CD206|CD169|CD370|Notch-1|Integrin-7|CD268|CD42b|CD62P|CD119|TCR-2|Notch-2|Rat-IgG1-2|Rag-IgG2c|CD192|CD102|CD106|CD122|CD267|CD62E|CD135|CD43|CD163|CD83|CD357|CD59|CD309|CD124|CD184|CD2|CD29|CD303|CD49b|CD98|IgD|CD18|CD28|TSLPR|CD38-1|CD127|CD45-2|CD15|CD22|CD71|CD115|CD144|CD301|CD1a|CD63|CD304|CD38-2|CD243|MERTK|Folate|TIM-4|CD171|CD325|CD200|CD338|CD235a|CD49a|CD49d|CD79a|CD9|TCR-V-7.2|TCR-V-9|TCR-V-24-J-18|CD354|CD202b|LOX-1|CD203c|CD133-2|CD186|CD226|CD205|CD109|CD11a/CD18|CD126|CD164|CD142|CD307c/FcRL3|CD307d|CD307e|CD319|CD138-2|CD99|CLEC12A|CD16|CD161|CCR10|CD271|GP130|CD46|VEGFR-3|CLEC2
P4,42,marker_memory,6,,legacy_v33_deterministic_feature_mask,CD45RA|CD45RO|CD27|CD95|CD28|CD127
P4,42,marker_tcell,15,,legacy_v33_deterministic_feature_mask,CD3-1|CD4-1|CD8|CD3-2|CD45RA|CD4-2|CD8a|CD45RO|TCR-1|CD27|TCR-2|TCR-V-7.2|TCR-V-2|TCR-V-9|TCR-V-24-J-18
P4,42,rna_only,224,,legacy_v33_deterministic_feature_mask,CD80|CD86|CD274|CD273|CD275-1|CD11b-1|Galectin-9|CD270|CD252|CD155|CD112|CD47|CD70|CD30|CD48|CD40|CD154|CD52|CD3-1|CD4-1|CD8|CD56-1|CD45-1|CD3-2|CD19|CD11c|CD34|CD138-1|CD269|CD90|CD117|CD45RA|CD123|CD105|CD201|CD194|CD4-2|CD44-1|CD8a|CD14|CD56-2|CD25|CD45RO|CD279|TIGIT|Rat-IgG2b|CD20|CD335|CD294|CD31|CD44-2|CD133-1|Podoplanin|CD140a|CD140b|Cadherin|CD340|CD146|CD324|IgM|TCR-1|CD195|CD196|CD185|CD103|CD69|CD152|CD223|CD27|CD107a|CD95|CD134|HLA-DR|CD1c|CD11b-2|CD64|CD141|CD1d|CD314|CD66b|CD35|CD57|CD366|CD272|CD278|CD275-2|CD96|CD39|CD178|CX3CR1|CD24|CD21|CD79b|CD66a/c/e|CD244|CD235ab|Siglec-8|CD206|CD169|CD370|XCR1|Notch-1|Integrin-7|CD268|CD42b|CD54|CD62P|CD119|TCR-2|Notch-2|CD68|Rat-IgG1-1|Rat-IgG1-2|Rag-IgG2c|CD192|CD102|CD106|CD122|CD267|CD62E|CD135|CD41|CD137|CD43|CD163|CD83|CD357|CD59|CD309|CD124|CD13|CD184|CD2|CD29|CD303|CD49b|CD61|CD81|CD98|CD177|CD55|IgD|CD18|CD28|TSLPR|CD38-1|CD127|CD45-2|CD15|CD22|CD71|B7-H4|CD26-1|CD193|CD115|CD204|CD144|CD301|CD1a|CD207|CD63|CD284|CD304|CD36|CD172a|CD85g|CD38-2|CD243|CD72|MERTK|Folate|TIM-4|CD171|CD325|CD93|CD200|CD338|C5L2|CD235a|CD49a|CD49d|CD73|CD79a|CD9|TCR-V-7.2|TCR-V-2|TCR-V-9|TCR-V-24-J-18|CD354|CD202b|CD305|LOX-1|CD203c|CD133-2|CD209|CD110|CD337|CD253|CD186|CD226|CD205|CD109|CD11a/CD18|CD126|CD164|CD142|CD307c/FcRL3|CD307d|CD307e|CD319|CD138-2|CD99|CLEC12A|CD16|CD161|CCR10|CD271|GP130|CD199|CD45RB|CD46|VEGFR-3|CLEC2|CD26-2
P4,42,random_size_matched_6,6,824421,random_feature_name_only_size_matched_to_targeted_mask,CD86|CD40|CD8|CD223|CD29|VEGFR-3
P4,42,random_size_matched_15,15,824422,random_feature_name_only_size_matched_to_targeted_mask,CD155|CD3-1|CD3-2|CD105|CD152|Notch-1|CD62P|CD102|CD43|CD59|CD13|CD55|CD71|CD307d|CCR10
P4,43,full,0,,legacy_v33_deterministic_feature_mask,
P4,43,random_10,22,334431,legacy_v33_deterministic_feature_mask,Galectin-9|CD3-2|CD138-1|CD117|CD4-2|CD14|CD56-2|CD140b|CD196|CD69|CD1d|CD272|CD39|CD268|Rat-IgG1-1|CD55|CD38-1|CD301|CD200|TCR-V-7.2|CD202b|CD142
P4,43,random_30,67,334433,legacy_v33_deterministic_feature_mask,CD80|CD270|CD155|CD52|CD4-1|CD11c|CD34|CD138-1|CD269|CD90|CD117|CD105|CD8a|TIGIT|CD20|CD335|TCR-1|CD103|CD69|CD27|CD95|CD134|CD1c|CD11b-2|CD1d|CD314|CD35|CD366|CD39|CD24|CD244|CD235ab|Siglec-8|Integrin-7|CD42b|TCR-2|CD68|CD122|CD62E|CD137|CD43|CD83|CD2|CD61|CD98|CD28|TSLPR|CD38-1|CD71|CD26-1|CD193|CD115|CD72|MERTK|CD325|CD93|CD49a|TCR-V-9|CD202b|LOX-1|CD133-2|CD110|CD253|CD109|CD307e|CD271|CD45RB
P4,43,random_50,112,334435,legacy_v33_deterministic_feature_mask,CD273|CD275-1|CD112|CD70|CD30|CD40|CD154|CD52|CD3-1|CD4-1|CD8|CD3-2|CD34|CD138-1|CD269|CD45RA|CD105|CD194|CD4-2|CD56-2|TIGIT|CD294|CD31|CD133-1|CD140a|CD324|IgM|TCR-1|CD196|CD69|CD95|CD1c|CD64|CD141|CD1d|CD314|CD35|CD366|CD272|CD275-2|CD96|CD39|CX3CR1|CD24|CD79b|CD244|CD235ab|Siglec-8|CD206|CD370|Notch-2|CD68|Rat-IgG1-1|Rag-IgG2c|CD106|CD62E|CD43|CD163|CD59|CD309|CD124|CD2|CD303|CD49b|CD177|CD55|IgD|CD18|CD28|CD45-2|CD22|CD301|CD1a|CD207|CD63|CD284|CD36|CD85g|CD38-2|Folate|CD171|CD325|CD93|CD338|CD235a|CD49a|CD49d|CD73|CD79a|TCR-V-7.2|TCR-V-2|TCR-V-24-J-18|CD202b|CD305|CD203c|CD133-2|CD209|CD186|CD226|CD109|CD11a/CD18|CD126|CD307e|CD99|CLEC12A|CCR10|CD271|CD45RB|CD46|VEGFR-3|CLEC2|CD26-2
P4,43,random_70,157,334437,legacy_v33_deterministic_feature_mask,CD86|CD275-1|CD11b-1|Galectin-9|CD270|CD252|CD155|CD30|CD48|CD154|CD52|CD4-1|CD8|CD56-1|CD19|CD11c|CD34|CD138-1|CD269|CD117|CD45RA|CD123|CD105|CD201|CD194|CD44-1|CD8a|CD56-2|CD45RO|CD279|TIGIT|CD335|CD31|CD133-1|Podoplanin|CD140a|CD140b|Cadherin|CD340|CD146|CD324|IgM|TCR-1|CD196|CD103|CD69|CD152|CD223|CD95|CD1c|CD11b-2|CD64|CD141|CD314|CD66b|CD35|CD57|CD366|CD272|CD278|CD275-2|CD96|CD39|CD178|CD24|CD79b|CD66a/c/e|CD235ab|XCR1|Notch-1|Integrin-7|CD54|CD119|Notch-2|CD68|Rat-IgG1-1|CD192|CD106|CD62E|CD135|CD41|CD137|CD43|CD163|CD59|CD124|CD184|CD2|CD29|CD49b|CD61|CD81|CD98|CD177|CD55|IgD|CD28|TSLPR|CD38-1|CD127|CD45-2|CD15|CD22|CD71|B7-H4|CD26-1|CD193|CD115|CD204|CD144|CD1a|CD207|CD63|CD284|CD36|CD172a|CD85g|CD38-2|CD243|CD72|MERTK|Folate|CD171|CD325|CD338|CD49a|CD49d|CD79a|CD9|TCR-V-7.2|CD202b|CD305|LOX-1|CD203c|CD133-2|CD209|CD110|CD337|CD186|CD205|CD109|CD11a/CD18|CD126|CD164|CD142|CD307d|CD307e|CD319|CD138-2|CLEC12A|CD16|CCR10|CD271|CD199|CD45RB|CD46|CLEC2
P4,43,marker_memory,6,,legacy_v33_deterministic_feature_mask,CD45RA|CD45RO|CD27|CD95|CD28|CD127
P4,43,marker_tcell,15,,legacy_v33_deterministic_feature_mask,CD3-1|CD4-1|CD8|CD3-2|CD45RA|CD4-2|CD8a|CD45RO|TCR-1|CD27|TCR-2|TCR-V-7.2|TCR-V-2|TCR-V-9|TCR-V-24-J-18
P4,43,rna_only,224,,legacy_v33_deterministic_feature_mask,CD80|CD86|CD274|CD273|CD275-1|CD11b-1|Galectin-9|CD270|CD252|CD155|CD112|CD47|CD70|CD30|CD48|CD40|CD154|CD52|CD3-1|CD4-1|CD8|CD56-1|CD45-1|CD3-2|CD19|CD11c|CD34|CD138-1|CD269|CD90|CD117|CD45RA|CD123|CD105|CD201|CD194|CD4-2|CD44-1|CD8a|CD14|CD56-2|CD25|CD45RO|CD279|TIGIT|Rat-IgG2b|CD20|CD335|CD294|CD31|CD44-2|CD133-1|Podoplanin|CD140a|CD140b|Cadherin|CD340|CD146|CD324|IgM|TCR-1|CD195|CD196|CD185|CD103|CD69|CD152|CD223|CD27|CD107a|CD95|CD134|HLA-DR|CD1c|CD11b-2|CD64|CD141|CD1d|CD314|CD66b|CD35|CD57|CD366|CD272|CD278|CD275-2|CD96|CD39|CD178|CX3CR1|CD24|CD21|CD79b|CD66a/c/e|CD244|CD235ab|Siglec-8|CD206|CD169|CD370|XCR1|Notch-1|Integrin-7|CD268|CD42b|CD54|CD62P|CD119|TCR-2|Notch-2|CD68|Rat-IgG1-1|Rat-IgG1-2|Rag-IgG2c|CD192|CD102|CD106|CD122|CD267|CD62E|CD135|CD41|CD137|CD43|CD163|CD83|CD357|CD59|CD309|CD124|CD13|CD184|CD2|CD29|CD303|CD49b|CD61|CD81|CD98|CD177|CD55|IgD|CD18|CD28|TSLPR|CD38-1|CD127|CD45-2|CD15|CD22|CD71|B7-H4|CD26-1|CD193|CD115|CD204|CD144|CD301|CD1a|CD207|CD63|CD284|CD304|CD36|CD172a|CD85g|CD38-2|CD243|CD72|MERTK|Folate|TIM-4|CD171|CD325|CD93|CD200|CD338|C5L2|CD235a|CD49a|CD49d|CD73|CD79a|CD9|TCR-V-7.2|TCR-V-2|TCR-V-9|TCR-V-24-J-18|CD354|CD202b|CD305|LOX-1|CD203c|CD133-2|CD209|CD110|CD337|CD253|CD186|CD226|CD205|CD109|CD11a/CD18|CD126|CD164|CD142|CD307c/FcRL3|CD307d|CD307e|CD319|CD138-2|CD99|CLEC12A|CD16|CD161|CCR10|CD271|GP130|CD199|CD45RB|CD46|VEGFR-3|CLEC2|CD26-2
P4,43,random_size_matched_6,6,824431,random_feature_name_only_size_matched_to_targeted_mask,CD155|CD30|CD279|Rag-IgG2c|CD325|CD186
P4,43,random_size_matched_15,15,824432,random_feature_name_only_size_matched_to_targeted_mask,CD252|CD70|CD138-1|Rat-IgG2b|CD335|CD39|Notch-2|CD68|CD62E|CD204|CD1a|CD207|CD85g|CD11a/CD18|CD26-2
P5,41,full,0,,legacy_v33_deterministic_feature_mask,
P5,41,random_10,22,335411,legacy_v33_deterministic_feature_mask,CD3-1|CD4-1|Rat-IgG2b|CD133-1|CD140b|CD1c|CD64|CD275-2|CD62E|CD41|CD81|CD172a|CD72|TIM-4|CD171|CD325|CD205|CD142|CD307c/FcRL3|CD138-2|CLEC12A|VEGFR-3
